,Restaurant,Review,Date,Label
19,Song Fa Bak Kut Teh,the pork rib wa soft and the soup wa peppery,2014-03-16T00:00:00,2
20,Song Fa Bak Kut Teh,tea based rib soup is the specialty here and it s deliciously soaked in the savory broth,2018-09-03T00:00:00,2
21,Song Fa Bak Kut Teh,can go up to an hour wait,2017-04-03T00:00:00,3
22,Song Fa Bak Kut Teh,queue can get pretty long so best to go early and avoid lunch and dinner crowd,2016-01-04T00:00:00,3
23,Song Fa Bak Kut Teh,very efficient and fast although one of the server terrence forgot to put in my extra order of pork belly i wont hold him to it,2015-12-26T00:00:00,3
24,Song Fa Bak Kut Teh,never heard of in asia,2017-12-17T00:00:00,5
25,Song Fa Bak Kut Teh,the soup is very peppery with the white pepper taste,2014-10-12T00:00:00,2
26,Song Fa Bak Kut Teh,reflecting on this past week of gluttony i honestly don t feel good about myself,2018-11-18T00:00:00,5
27,Song Fa Bak Kut Teh,get this,2014-01-03T00:00:00,5
28,Song Fa Bak Kut Teh,definitely a must try,2017-01-18T00:00:00,5
29,Song Fa Bak Kut Teh,,2018-03-30T00:00:00,5
30,Song Fa Bak Kut Teh,we ordered up some water chestnutwaters to hydrate and got to looking at the menu,2015-09-14T00:00:00,5
31,Song Fa Bak Kut Teh,i always bring visitor to this song fa bakut teh and they love it,2015-03-24T00:00:00,5
32,Song Fa Bak Kut Teh,the meat wa fall of the bone tender and the soup wa a delightful mix of spice and it wa so delicious it wa nothing i could put word to,2018-01-02T00:00:00,2
33,Song Fa Bak Kut Teh,it s a light flavor that enhances the flavor of the pork itself,2019-01-18T00:00:00,2
34,Song Fa Bak Kut Teh,it wa pure deliciousness,2018-12-05T00:00:00,2
35,Song Fa Bak Kut Teh,located at the bukit timah saddle club we take the chance to walk around the place enjoying the scenic around u,2012-08-20T00:00:00,4
36,Song Fa Bak Kut Teh,they do have an extensive menu that range from bruschetta to protein shake and a full bar so make sure you take a thorough look at everything,2020-01-07T00:00:00,5
37,Song Fa Bak Kut Teh,the soup is not bad savory enough and is very aromatic,2012-08-22T00:00:00,2
38,Song Fa Bak Kut Teh,located just opposite the central shopping mall at clark quay it s in a sufficiently accessible spot that isn t too far flung in the heartland of singapore,2012-08-29T00:00:00,4
39,Song Fa Bak Kut Teh,it s an eatery by the roadside and i recommend you eat there at night in case you will be seated outside to avoid the searing asian heat,2015-01-09T00:00:00,4
40,Song Fa Bak Kut Teh,a large portion is around dollar 10 singaporean dollar dollar 7 22 u dollar,2020-03-04T00:00:00,1
41,Song Fa Bak Kut Teh,i think the soup is quite nice and spiciness is relatively mild compared to others,2015-11-29T00:00:00,2
42,Song Fa Bak Kut Teh,just the perfect balance in flavor to give you that savory taste,2017-04-03T00:00:00,2
43,Song Fa Bak Kut Teh,we also like the stewed pork belly which wa guiltily satisfying,2018-07-23T00:00:00,2
44,Song Fa Bak Kut Teh,there is almost always a line,2018-05-01T00:00:00,3
45,Song Fa Bak Kut Teh,staff will take your order while in line to speed up food delivery once you do get a table,2019-12-16T00:00:00,3
46,Brawn & Brains Coffee,i don t get why it can t just be full service the menu wa decent but price are pretty expensive,2019-12-17T00:00:00,1
47,Brawn & Brains Coffee,oh and it s not overpriced in this age of five buck coffee,2015-07-20T00:00:00,1
48,Brawn & Brains Coffee,this place is pretty cute and definitely reminds me of the hipster vibe back home but it is pretty chill and not super pretentious ha,2016-06-03T00:00:00,4
49,Brawn & Brains Coffee,this little cafe run by a husband and wife team their friendly staff give this place a very homely feel,2015-08-26T00:00:00,4
50,No. 18 Zion Road Char Kway Teow,i stood in line patiently and got a large plate of noodle,2016-11-21T00:00:00,1
51,No. 18 Zion Road Char Kway Teow,if you want solid noodle you can go here and it is tasty and not a oily a others i ve tried,2015-01-21T00:00:00,2
52,Lawry's The Prime Rib Singapore,price is on the high side,2013-08-13T00:00:00,1
53,Lawry's The Prime Rib Singapore,a cut above the rest lawry s the prime rib what more can be said about it,2015-12-01T00:00:00,2
54,Lawry's The Prime Rib Singapore,it turned out to be hilarious indeed and then a little sad,2016-01-29T00:00:00,5
55,Lawry's The Prime Rib Singapore,but that s about it,2015-12-01T00:00:00,5
56,Lawry's The Prime Rib Singapore,place is always crowded with poor ventilation,2016-06-18T00:00:00,4
57,Lawry's The Prime Rib Singapore,our main course came soon after the chef rolled a trolley to our table and slice the beef in front of you,2012-07-15T00:00:00,3
58,Old Airport Road Food Centre,and yay for mantous 50cents each,2013-03-05T00:00:00,1
59,Old Airport Road Food Centre,with endless option such a prawn noodle wonton noodle fish ball fresh juice curry puff rojak kopi and kaya toast available this center is where food dream are form,2018-04-16T00:00:00,5
60,Old Airport Road Food Centre,lastly grabbed a hot red paste bun from the only place selling hot bun in there which wa so fluffy and perfectly hot and topped with sesame seed white and black,2015-09-29T00:00:00,2
61,Old Airport Road Food Centre,plenty of seating both inside and out,2015-04-17T00:00:00,3
62,Old Airport Road Food Centre,we had some noodle and a clay chicken pot with rice,2019-07-13T00:00:00,5
63,Old Airport Road Food Centre,fried prawn and pork roll were a mixed of sweet and savory flavor,2019-05-23T00:00:00,2
64,Old Airport Road Food Centre,the noodle were pleasant and would give it a 3 5 4 star opposite lucky on the second last row of stall on the west side of the hawker center is laofuzi ckt with a green sign,2015-04-23T00:00:00,5
65,Old Airport Road Food Centre,great flavor of cockle chinese chive bean sprout and flat noodle all cooked in light and dark soy sauce,2014-05-11T00:00:00,2
66,Old Airport Road Food Centre,highly recommended and very affordable,2017-02-09T00:00:00,1
67,Old Airport Road Food Centre,the lor mee wa excellent and much better than it looked,2013-09-11T00:00:00,2
68,Old Airport Road Food Centre,for only dollar 4 you get both the wonton soup the noodle,2016-01-06T00:00:00,1
69,Old Airport Road Food Centre,this is one of the many hawker center in singapore and compared to some of the other big one this one is much le touristy,2018-03-25T00:00:00,4
70,Dolce Vita,good thing never come cheap and i have to agree that it s for a valid reason,2012-08-23T00:00:00,1
71,Dolce Vita,very good ambience a well with pool side view and the impressive mb in the background,2018-10-29T00:00:00,4
72,Dolce Vita,the lady at the station wa super friendly and very generous with the topping,2015-11-08T00:00:00,3
73,DB Bistro Moderne,the portion wa small so we ordered the db burger,2013-03-23T00:00:00,1
74,DB Bistro Moderne,plus the fry that come with it are delicious too okay now i am having a burger craving again hahahaha,2012-12-16T00:00:00,2
75,DB Bistro Moderne,the french onion soup wa very good though quite pricey but definitely the best french onion soup i ever had unfortunately though that wasn t what i really wanted,2013-03-30T00:00:00,2
76,DB Bistro Moderne,and for the dessert my favorite is the profiterole with a chocolate disk that melt when they pour the extra chocolate sauce,2014-09-20T00:00:00,2
77,DB Bistro Moderne,only distraction wa a woman man that we re running around with a clip board acting a auditor,2014-05-28T00:00:00,3
78,DB Bistro Moderne,whilst the texture of the burger wa good it wa woefully under seasoned and thus lacked any flavour,2016-06-11T00:00:00,2
79,DB Bistro Moderne,wow,2013-11-23T00:00:00,5
80,DB Bistro Moderne,i ve had everything from their lobster to the steak to the pasta and everything is good,2016-10-26T00:00:00,2
81,DB Bistro Moderne,all of the staff were so attentive and friendly it made u feel like we were getting a red carpet treatment even though it wa just a regular day for the worker there we had an oyster platter db original burger squid ink pasta brussel sprout mushroom,2019-08-10T00:00:00,3
82,DB Bistro Moderne,madeleines which are still a light a those on my previous visit,2013-07-24T00:00:00,2
83,DB Bistro Moderne,but the ingredient were amazing and came together so well,2013-03-03T00:00:00,2
84,DB Bistro Moderne,dollar 44 is massively overpriced for a burger that would ve been beaten in a blind taste test by shake shack or omakase,2016-06-11T00:00:00,1
85,DB Bistro Moderne,it wa juicy well seasoned and incredibly rich,2014-01-22T00:00:00,2
86,DB Bistro Moderne,had a team lunch here,2017-12-18T00:00:00,5
87,DB Bistro Moderne,i am amazed that the duck confit wa so well done that it wa so soft and delicate the fact that the duck meat wa even tender than coq au vin s chicken drumstick make me felt worst over it and the caramelized onion add an extra sweetness to the meat,2012-09-27T00:00:00,2
88,DB Bistro Moderne,the pink floyd cocktail while pretty wa all ice and foam and the tartie mine alsacian wa a dollar 22 large cheese craker,2012-12-06T00:00:00,1
89,Margarita's Dempsey Hill,the carnitas tasted pretty bland,2013-10-20T00:00:00,2
90,Margarita's Dempsey Hill,the restaurant is expensive even by singaporean standardsi would probably go back but i certainly will wait until i have a strong hankering for mexican food before i do so,2013-10-20T00:00:00,1
91,Margarita's Dempsey Hill,the menu is small but a pretty good approximation of mexican restaurant in north america,2013-10-20T00:00:00,5
92,Margarita's Dempsey Hill,the chip were good the salsa wa excellent the margarita were excellent a well,2013-10-20T00:00:00,2
93,Margarita's Dempsey Hill,if i were judging this restaurant on curve and gave it bonus point for being halfway around the world from mexico it would probably get 4 star,2013-10-20T00:00:00,5
94,Margarita's Dempsey Hill,overall food wa good,2015-08-10T00:00:00,2
95,Margarita's Dempsey Hill,their spice level is very manageable relative to other mexican restaurant,2017-10-14T00:00:00,2
96,Margarita's Dempsey Hill,enjoyed the chicken burrito very nice presentation a well a the red snapper my wife had,2017-07-28T00:00:00,2
97,Margarita's Dempsey Hill,the fajitas wa delicious i love their margarita presentation basically served in a bottle of patron and their chip and other dish were pretty good,2018-04-29T00:00:00,2
98,Bosses Restaurant,normally you wouldn t think they charge for it in the u,2017-03-14T00:00:00,1
99,Bosses Restaurant,the service team covering our table wa prompt and polite and is experienced and confident enough to introduce the dish a they came a well a making polite conversation,2014-03-17T00:00:00,3
100,Bosses Restaurant,the service wa a bit slow and it wa hard to get the waiter attention,2015-12-28T00:00:00,3
101,Bosses Restaurant,asked 2 waiter and still nothing just told u to wait,2016-09-03T00:00:00,3
102,Bosses Restaurant,the prawn are really fresh,2012-08-22T00:00:00,2
103,MTR 1924,and each of them were pretty good particularly the accompaniment to rava dosa which wa similar to avial the good old sambar wa pretty good a well the vada wa excellent the rawa idli filter coffee were good overall a very good addition to singapore s indian food scene,2014-06-01T00:00:00,2
104,MTR 1924,what i can tell you with confidence it that my colleague and i agreed that the coconut chutney wa a authentic a it get and a flavorful a one expects,2019-11-22T00:00:00,2
105,MTR 1924,good service very fast and delicious,2018-01-15T00:00:00,3
106,MTR 1924,also had the chai,2018-01-15T00:00:00,5
107,MTR 1924,lot of local indian so clearly they are doing something right though,2017-11-24T00:00:00,5
108,MTR 1924,writing this review trigger the flavor and aroma memory such a delight,2019-11-22T00:00:00,2
109,MTR 1924,quite the contrast from the previous dish,2019-11-22T00:00:00,5
110,MTR 1924,the service is commendable and no we didn t feel like boss nor mafia but we were happy customer,2012-09-01T00:00:00,3
111,Boon Tong Kee,crab meat fish maw soup awesome,2014-11-27T00:00:00,2
112,Boon Tong Kee,the chicken just melted in my mouth the pork knuckle had very tender meat on it,2020-01-22T00:00:00,2
113,Boon Tong Kee,they also bring you the check with the food which is another testament to their efficiency,2016-06-10T00:00:00,3
114,Boon Tong Kee,the restaurant is clean and the staff have the usual stiff upper lip until you warm them up with some xie xie s and attempting to banter with them,2016-10-09T00:00:00,4
115,Boon Tong Kee,anyways i would go back only for the chicken rice but for the rest not that impressed,2014-09-21T00:00:00,5
116,Boon Tong Kee,the coffee aroma woke up all your sens,2012-11-14T00:00:00,2
117,Boon Tong Kee,the seafood fresh,2016-10-09T00:00:00,2
118,Boon Tong Kee,surprisingly our hostess wa very courteous and everyone we dealt with afterwards were also gracious,2013-01-25T00:00:00,3
119,Pasha,the lamb tajine is highly recommended,2012-09-02T00:00:00,2
120,Murugan Idli Shop,thats a deal,2014-09-05T00:00:00,1
121,Murugan Idli Shop,tried 3 kind of rice,2016-01-09T00:00:00,5
122,Murugan Idli Shop,had they served u better we might have had a few more round of idlis,2018-05-17T00:00:00,3
123,Pollen,finally the lonely cheese board looked quite miserable with few option none aoc fermier all quite boring in other word some branch of cold storage have more choice and perhaps better quality,2018-03-11T00:00:00,5
124,Pollen,the plate appear of a conservative size but were filling,2017-01-22T00:00:00,1
125,Pollen,adored the arancini with the creamy risotto style rice our starter the mosaic of foie gras and confit duck with cherry and tangy apple puree dollar 40 wa quite different from the usual that is served with berry compote,2013-06-16T00:00:00,2
126,Pollen,it is uncharacteristic to have such a poorly run establishment in a first class attraction like the garden by the bay,2017-01-02T00:00:00,3
127,Pollen,i prefer to have the same continuous server,2013-02-12T00:00:00,3
128,Pollen,i can t believe this is a jason atherton restaurant,2013-11-08T00:00:00,5
129,Pollen,my first thought with every dish wa how british that cooking wa,2018-03-11T00:00:00,5
130,Pollen,the drink are expensive dollar 7 for an iced latte,2017-07-23T00:00:00,1
131,Pollen,the problem wa with the lack of service,2015-01-04T00:00:00,3
132,Pollen,they were busy i ll give them that but the drink were super slow the food just average and waiting for the toast infuriating,2015-03-20T00:00:00,3
133,Pollen,the service in general wa good except for a snooty local manager who all but rolled his eye every time he talked to u,2013-03-23T00:00:00,3
134,Lee Fun Nam Kee Chicken Rice & Restaurant,the best chicken rice char siew bbq pork crispy roast pork i ve ever had in my life,2019-02-21T00:00:00,2
135,Lee Fun Nam Kee Chicken Rice & Restaurant,the brown sauce that come with the soya sauce chicken is thick and starchy and so flavourful,2012-09-02T00:00:00,2
136,Warong Nasi Pariaman,a cheap and authentic a you can get,2013-08-22T00:00:00,1
137,Warong Nasi Pariaman,the price are moderate not the cheapest option for nasi padang but i guarantee it s worth the trip,2012-07-28T00:00:00,1
138,Warong Nasi Pariaman,during that afternoon the ayam bakar wa somewhat not like how i could recall,2018-11-25T00:00:00,5
139,Warong Nasi Pariaman,these are the warongs of my childhood and i miss that,2020-01-19T00:00:00,5
140,StraitsKitchen,one might argue that it s better to head to some hawker centre but hey wait till you get here,2012-08-18T00:00:00,5
141,StraitsKitchen,their buffet wa fairly extensive including but not limited to chinese indian and western option including an egg station meat fruit pastry bread and more,2014-07-28T00:00:00,2
142,StraitsKitchen,full price of dollar 55 per person about dollar 61 including tax will seem steep compared to eating these dish in hawker centre but the environment robust flavour and good service make up for it,2015-09-24T00:00:00,4
143,StraitsKitchen,cocktail were made soooo slow and we waited for 20 min granted it wa busy and the male server apologised it wa interesting to see that the people in work suit were given their beer and other drink order before u when we were seated way before these people,2016-02-25T00:00:00,3
144,StraitsKitchen,if you want to taste a wide variety of local food in a comfortable and clean environment strait kitchen is the place to head to,2015-09-24T00:00:00,4
145,The Beast,price a little bit pricey dollar 170 for 2pax overall it s still worth a try,2016-05-31T00:00:00,1
146,The Beast,on the whole it wa sufficiently tasty,2014-10-11T00:00:00,2
147,The Beast,the chicken and waffle wa unfortunately quite forgettable,2015-06-04T00:00:00,2
148,The Beast,attempt at you re own risk,2014-07-31T00:00:00,5
149,The Beast,pulled pork hash and dutch baby pancake were equally yummy,2015-06-04T00:00:00,2
150,The Beast,the serving wa small but it wa meant to be an appetiser anyway,2015-05-27T00:00:00,1
151,The Beast,we weren t ina rush so it wasn t a giant pain but wa wa not top notch customer care the place is also a bar so is not really family friendly,2015-08-01T00:00:00,4
152,Waku Ghin,we were a party of 6 had the omakase ofc some v expensive sake and 6xsdollar 20 of still water,2014-09-28T00:00:00,1
153,Waku Ghin,it is expensive and reservation are hard to come by but it worth it,2013-01-21T00:00:00,1
154,Waku Ghin,the experience is without a doubt very expensive but the 10 course degustation meal wa hand down among my favorite of all time,2016-07-20T00:00:00,1
155,Waku Ghin,the private chef one to every 2 diner doe a show and tell for his dish before preparing it whether searing a piece of wagyu or cooking the abalone to the perfect texture,2012-09-08T00:00:00,3
156,Waku Ghin,i ve never had that ever happen in singapore overseas yes and that alone redeemed the seamless but average service we received for the rest of the evening,2012-10-09T00:00:00,3
157,Liao Fan Hawker Chan,not only is singapore a dope vacation destination but it ha cheap delicious food,2019-12-12T00:00:00,1
158,Liao Fan Hawker Chan,amazing chicken and soy sauce rice at a great price,2017-10-29T00:00:00,1
159,Liao Fan Hawker Chan,i feel that most of the soya sauce chicken at home were mostly salty and one dimensional,2019-11-26T00:00:00,2
160,Liao Fan Hawker Chan,p s i also enjoyed the pickled chili pepper from the condiment section,2017-10-20T00:00:00,2
161,Liao Fan Hawker Chan,the rice wa delicious,2018-06-07T00:00:00,2
162,Liao Fan Hawker Chan,the roast pork and duck were also good but nothing stand out,2019-09-17T00:00:00,2
163,Liao Fan Hawker Chan,longest part of our wait wa to order,2018-11-29T00:00:00,3
164,Liao Fan Hawker Chan,i mistakenly arrived at this location shortly after 10 a m and wa surprised to see how beautiful new and not crowded this location wa,2019-08-30T00:00:00,4
165,Liao Fan Hawker Chan,after talking with a few local i wa a bit reluctant to actually make the effort to check this place out,2017-09-09T00:00:00,5
166,Liao Fan Hawker Chan,really glad we got a chance to eat here,2019-09-17T00:00:00,5
167,Liao Fan Hawker Chan,after a mediocre experience with the brick and mortar store decided to give the stand a try to see if it really is better,2018-04-05T00:00:00,5
168,Liao Fan Hawker Chan,if i went with others we could have had more dish to try out,2018-01-25T00:00:00,5
169,Liao Fan Hawker Chan,this is more something my parent would probably enjoy d,2019-09-30T00:00:00,5
170,Liao Fan Hawker Chan,the reason i chose to eat at the stall is because the price are cheaper and the food is supposedly better,2018-06-18T00:00:00,1
171,Liao Fan Hawker Chan,price in this place is unbeatable for the quality and quantity that you received,2017-05-01T00:00:00,1
172,Liao Fan Hawker Chan,but yes i d come back in a heartbeat,2018-05-24T00:00:00,5
173,Liao Fan Hawker Chan,all wa good total price wa dollar 22 which is reasonable for the amount of food,2017-02-23T00:00:00,1
174,Liao Fan Hawker Chan,however you will pay only 10 or 12 each person,2019-12-26T00:00:00,1
175,Liao Fan Hawker Chan,the staff that guild you ordering via a kiosk and he will not let you touch it,2017-01-03T00:00:00,3
176,Liao Fan Hawker Chan,i ordered the chicken with noodle not rice and vegetable,2017-03-01T00:00:00,5
177,Liao Fan Hawker Chan,i don t know,2020-01-16T00:00:00,5
178,Liao Fan Hawker Chan,for the price nothing can beat this delicious meal,2018-06-14T00:00:00,1
179,Liao Fan Hawker Chan,although this place is overhyped i wa not expecting much so my experience wa neither overwhelming nor underwhelming,2020-02-15T00:00:00,5
180,Liao Fan Hawker Chan,no line at all if you go on a weekday around 3 4pm,2017-05-21T00:00:00,3
181,Liao Fan Hawker Chan,i have yet to try the main stall which most people say taste better,2018-04-23T00:00:00,5
182,Liao Fan Hawker Chan,attached picture show it all,2017-11-19T00:00:00,5
183,Liao Fan Hawker Chan,i actually preferred the pork,2018-06-11T00:00:00,2
184,Liao Fan Hawker Chan,the chicken and chau siew are both good but not something that you must have,2019-07-27T00:00:00,2
185,Liao Fan Hawker Chan,some people said that the one in smith street is better i hope to try that out someday,2017-11-15T00:00:00,5
186,Liao Fan Hawker Chan,it wa also super tender,2019-01-08T00:00:00,2
187,Liao Fan Hawker Chan,the noodle wa perfectly done and the star of the show the soya chicken man the meat just melt in your mouth,2019-09-17T00:00:00,2
188,Liao Fan Hawker Chan,the char siew wa amazing a well because of that unique soy sauce brew,2019-02-23T00:00:00,2
189,Liao Fan Hawker Chan,waited for about 30 minute in line which is apparently short given normal weekend circumstance,2017-10-29T00:00:00,3
190,Liao Fan Hawker Chan,it s my first michelin star restaurant since it s the only affordable one out there,2019-02-08T00:00:00,1
191,Liao Fan Hawker Chan,my total wa dollar 4 80 which is slightly pricey for a hawker stall but you get extra such a air conditioning and food safety so it s worth it,2017-04-20T00:00:00,1
192,Liao Fan Hawker Chan,just enough fat but not too much to take away from the juicy flavor,2019-01-20T00:00:00,2
193,Liao Fan Hawker Chan,more importantly than the bone though is the fact that the chicken wa literally cold when i got my plate,2018-03-04T00:00:00,3
194,Liao Fan Hawker Chan,waited in line foreverrr it took about 40 min til i got to the front of the line to put in my order,2018-04-05T00:00:00,3
195,YAYOI,cheap and quite okay japanese at the 100am mall in tanjong pagar,2013-09-10T00:00:00,1
196,YAYOI,and it s not just any rice but the nice kind that s flown in from japan,2013-02-16T00:00:00,5
197,Latteria Mozzarella Bar,four of u came for the dollar 24 ish set lunch fantastic value a you get 3 course for your money,2012-09-06T00:00:00,1
198,Latteria Mozzarella Bar,enjoy their 3 course weekday set lunch at only dollar 28,2012-12-04T00:00:00,1
199,Latteria Mozzarella Bar,definitely recommend sticking to the mozzarella entree especially the smoked option and the exemplary stracciatella and burratina,2016-07-27T00:00:00,2
200,Latteria Mozzarella Bar,very nice presentation,2013-04-02T00:00:00,4
201,Latteria Mozzarella Bar,genius the second one we had wa a creamier mozzarella served on top of a bed of grilled zucchini,2012-10-20T00:00:00,2
202,Latteria Mozzarella Bar,on first mouth i thought it wa a tad salty,2012-10-20T00:00:00,2
203,Latteria Mozzarella Bar,but the sweetness of the seafood broth with lot of garlic and white wine came through a you eat,2012-10-20T00:00:00,2
204,Tono Cevicheria,most item are priced between dollar 25 dollar 30sgd each and designed to share and explore although potion not gigantic or anything,2018-06-29T00:00:00,1
205,Satay By The Bay,satay chili crab stingray indian food and even some eastern mediterranean food there is a good variety here however it is a little overpriced,2018-05-28T00:00:00,1
206,Satay By The Bay,you can even try unique food like stingray and the hundred year old egg or classic singaporean dessert or juice such a chendol or bandung,2019-11-16T00:00:00,2
207,Satay By The Bay,all that food stuffed to the gils for about 50 sgdollar for 3 hungry lady,2014-12-14T00:00:00,1
208,Satay By The Bay,it taste like if you just ordered satay from a restaurant that specializes in something else where the main focus isn t the satay,2018-06-01T00:00:00,5
209,Satay By The Bay,grilled on charcoal fresh and tasty,2017-10-28T00:00:00,2
210,Satay By The Bay,the wing are perfectly grilled over open charcoal,2019-03-10T00:00:00,2
211,Satay By The Bay,service is a bit slow but it s a good place to eat if you re willing to wait,2018-07-19T00:00:00,3
212,PS.Cafe,the slice is huge though and come with an ice cream so would recommend sharing,2018-11-03T00:00:00,1
213,PS.Cafe,also i ve already raved about their sticky date but we also grabbed p s specialty brownie which actually wasn t that great to be honest,2016-10-15T00:00:00,2
214,PS.Cafe,be prepared to spend some cashola but for the quality portion and ambiance it s worth it,2017-11-02T00:00:00,5
215,PS.Cafe,we literally had to wave the guy over,2016-06-12T00:00:00,3
216,PS.Cafe,i tried several main dish there but they could not make any good impact on my memory,2015-11-24T00:00:00,5
217,PS.Cafe,but the last time i ordered it the bread and steak wa different and ended up not being a tasty a before,2013-01-06T00:00:00,5
218,PS.Cafe,p cafe is no stranger to the cafe market in singapore,2012-08-19T00:00:00,5
219,PS.Cafe,the entree and appetizer i ve had here have been satisfying but not exactly memorable,2014-04-06T00:00:00,2
220,PS.Cafe,i didn t try them a i wa too full but next time i ll be sure to try their truffle fry dollar 15,2019-01-18T00:00:00,5
221,PS.Cafe,it s an easy walk from the main street in chinatown called tajong pagar,2019-05-31T00:00:00,5
222,PS.Cafe,price reasonable,2014-06-04T00:00:00,1
223,PS.Cafe,i absolutely loved their pad thai salad the prawn were tender and well cleaned the veggie were fresh and crunchy and the peanut sauce and flavourful spice were delicious,2016-10-15T00:00:00,2
224,PS.Cafe,however the milkshake pastry and fry i ve had here have all been fantastic,2014-04-06T00:00:00,2
225,PS.Cafe,i m still getting used to the fact that they don t put salt and pepper shaker on the table here perhaps i ll keep some in my purse so i asked for salt and it never came,2016-06-12T00:00:00,3
226,PS.Cafe,service is always very warm and friendly in fact one of the friendliest bunch of floor staff in singapore,2012-08-03T00:00:00,3
227,Toast Box,i also really wanted to try the kaya toast there and for dollar 1 40 why not,2012-10-26T00:00:00,1
228,Toast Box,a usual the kaya toast wa good for a quick snack and the milk tea is always refreshing,2017-10-29T00:00:00,2
229,Toast Box,that s really the first time i encountered singapore bad service,2019-11-18T00:00:00,3
230,Toast Box,go here and trust you will have a yummy and reasonably priced meal,2014-07-22T00:00:00,1
231,Toast Box,easy quick and cheap,2018-09-29T00:00:00,1
232,Food Republic,clean but what isn t in this island nation central to many place lot of broth food under 10 buck and it s a food court,2013-09-22T00:00:00,1
233,Food Republic,the newly renovated food court at wisma atrium level 4 is finally open to public about a month ago,2012-07-22T00:00:00,5
234,Food Republic,each food court ha a theme though most of it relates to our singaporean heritage there are some subtle difference,2012-07-22T00:00:00,4
235,Real Food,so expensive too,2016-01-20T00:00:00,1
236,Real Food,first because of the fact that it s healthy,2014-10-12T00:00:00,5
237,Real Food,while the food is decent it lack uniqueness i d much prefer place like angel s bistro genesis or one of the vegetarian restaurant at fortune center,2016-12-28T00:00:00,2
238,Druggists,it s ok but not really worth the trek out unless you re already in the area,2017-07-24T00:00:00,1
239,Druggists,best part it s right next to a food court so go get drunk and sober up for cheap,2015-08-01T00:00:00,5
240,Druggists,you have to do the hard thing which the almost impossible thing which is to educate the customer,2015-11-07T00:00:00,5
241,Chapter 55,one thing that i found very attractive on their signboard wa how they highlighted their 1 for 1 on weekday offer we went a a group of 5,2015-02-04T00:00:00,1
242,Chapter 55,it didn t leave me swooning but i d say it s definitely one of the better pizza i had in singapore,2015-02-15T00:00:00,5
243,Chapter 55,i read that they have a 1 for 1 pasta deal during weekday lunch time and that s a pretty good deal i would totally take advantage of this if i work around tiong bahru,2015-03-04T00:00:00,1
244,Chapter 55,it wasn t displayed but they had it in the freezer,2015-05-06T00:00:00,5
245,Chapter 55,at half the price it wa a steal,2015-12-08T00:00:00,1
246,Chapter 55,so i called in to make a reservation but an automated voice answering machine told me i would receive a text message to complete the reservation which i did,2015-05-06T00:00:00,3
247,Berseh Food Centre,ice kacang at the hot and cold dessert stand for dollar 1 50,2018-04-24T00:00:00,1
248,Saveur,after reading a few review what jumped out at me wa when i read one reviewer say that you will not get an amazing prix fixe of dollar 38 per person anywhere else in singapore,2019-07-10T00:00:00,1
249,Saveur,crispy skin lovely mash,2012-07-27T00:00:00,2
250,Saveur,likewise for the angel hair pasta,2012-11-17T00:00:00,5
